Order,State,Substate Region,"Small Area Estimate",95% CI (Lower),95% CI (Upper),Map Group
74,Delaware,Wilmington City,3.57%,2.69%,4.73%,4
75,District of Columbia,District of Columbia,4.10%,3.46%,4.84%,3
76,District of Columbia,Ward 1,4.29%,3.27%,5.60%,4
77,District of Columbia,Ward 2,5.28%,4.12%,6.74%,4
78,District of Columbia,Ward 3,4.22%,3.24%,5.48%,4
79,District of Columbia,Ward 4,3.50%,2.57%,4.76%,4
80,District of Columbia,Ward 5,3.48%,2.63%,4.59%,4
81,District of Columbia,Ward 6,4.64%,3.49%,6.16%,4
82,District of Columbia,Ward 7,3.39%,2.49%,4.61%,4
83,District of Columbia,Ward 8,3.64%,2.75%,4.80%,4
84,Florida,Florida,3.48%,3.07%,3.95%,3
85,Florida,Broward (Circuit 17),3.17%,2.44%,4.10%,4
86,Florida,Central I,3.74%,3.09%,4.52%,5
87,Florida,Circuit 9,3.75%,2.99%,4.71%,4
88,Florida,Circuit 18,3.72%,2.83%,4.89%,4
89,Florida,Central II,3.55%,3.02%,4.17%,5
90,Florida,Circuit 6,3.52%,2.71%,4.56%,4
91,Florida,Circuit 10,3.88%,2.91%,5.16%,4
92,Florida,Circuit 12,3.40%,2.52%,4.56%,4
93,Florida,Circuit 13 (Hillsborough),3.55%,2.74%,4.58%,4
94,Florida,Circuit 20,3.50%,2.65%,4.61%,4
95,Florida,Northeast,3.71%,3.13%,4.40%,5
96,Florida,Circuit 4,3.63%,2.82%,4.65%,4
97,Florida,Circuit 5,3.48%,2.60%,4.65%,4
98,Florida,Circuit 7,3.75%,2.80%,5.00%,4
99,Florida,"Circuit 8 plus Columbia, Dixie, Hamilton, Lafayette, and Suwannee",4.28%,3.33%,5.49%,4
100,Florida,Northwest,4.07%,3.36%,4.92%,5
101,Florida,Circuit 1,4.09%,3.10%,5.39%,4
102,Florida,Circuit 2 plus Madison and Taylor,4.12%,3.22%,5.25%,4
103,Florida,Circuit 14,3.95%,2.96%,5.27%,4
104,Florida,South (Circuits 11 and 16),2.87%,2.25%,3.67%,4
105,Florida,Southeast,3.23%,2.60%,4.01%,5
106,Florida,Circuit 15 (Palm Beach),3.14%,2.41%,4.10%,4
107,Florida,Circuit 19,3.43%,2.58%,4.56%,4
108,Georgia,Georgia,3.91%,3.27%,4.67%,3
109,Georgia,Region 1,3.81%,2.89%,5.01%,4
110,Georgia,Region 2,4.31%,3.29%,5.63%,4
111,Georgia,Region 3,3.69%,2.84%,4.77%,4
112,Georgia,Region 4,4.09%,3.09%,5.39%,4
113,Georgia,Region 5,4.29%,3.22%,5.69%,4
114,Georgia,Region 6,3.80%,2.87%,5.03%,4
115,Hawaii,Hawaii,3.90%,3.19%,4.76%,3
116,Hawaii,Hawaii Island,4.77%,3.51%,6.43%,4
117,Hawaii,Honolulu,3.60%,2.83%,4.58%,4
118,Hawaii,Kauai,4.23%,3.04%,5.85%,4
119,Hawaii,Maui,4.58%,3.35%,6.21%,4
120,Idaho,Idaho,4.29%,3.63%,5.07%,3
121,Idaho,Region 1,4.37%,3.27%,5.82%,4
122,Idaho,Region 2,4.72%,3.57%,6.23%,4
123,Idaho,Region 3,4.66%,3.49%,6.20%,4
124,Idaho,Region 4,3.76%,2.92%,4.82%,4
125,Idaho,Region 5,4.46%,3.32%,5.97%,4
126,Idaho,Region 6,4.59%,3.46%,6.06%,4
127,Idaho,Region 7,4.39%,3.39%,5.67%,4
128,Illinois,Illinois,3.55%,3.14%,4.03%,3
129,Illinois,Region I (Cook),3.28%,2.71%,3.96%,4
130,Illinois,Region II,3.46%,2.87%,4.17%,4
131,Illinois,Region III,3.87%,3.13%,4.79%,4
132,Illinois,Region IV,4.19%,3.25%,5.39%,4
133,Illinois,Region V,4.18%,3.28%,5.33%,4
134,Indiana,Indiana,4.18%,3.53%,4.94%,3
135,Indiana,Central,3.93%,3.04%,5.05%,4
136,Indiana,East,4.30%,3.26%,5.66%,4
137,Indiana,North Central,4.16%,3.19%,5.40%,4
138,Indiana,Northeast,4.03%,3.03%,5.35%,4
139,Indiana,Northwest,3.90%,2.95%,5.15%,4
140,Indiana,Southeast,4.26%,3.15%,5.74%,4
141,Indiana,Southwest,4.35%,3.29%,5.73%,4
142,Indiana,West,4.91%,3.86%,6.23%,4
143,Iowa,Iowa,4.12%,3.46%,4.91%,3
144,Iowa,Central,3.86%,2.92%,5.07%,4
145,Iowa,North Central,4.19%,3.25%,5.39%,4
146,Iowa,Northeast,4.15%,3.18%,5.41%,4
147,Iowa,Northwest,3.79%,2.79%,5.12%,4
148,Iowa,Southeast,4.62%,3.49%,6.08%,4
149,Iowa,Southwest,3.90%,2.93%,5.18%,4
150,Kansas,Kansas,3.77%,3.15%,4.52%,3
151,Kansas,Kansas City Metro,3.63%,2.81%,4.68%,4
152,Kansas,Northeast,3.82%,2.89%,5.03%,4
153,Kansas,South Central,3.84%,2.87%,5.11%,4
154,Kansas,Southeast,4.11%,2.98%,5.65%,4
155,Kansas,West,3.82%,2.87%,5.08%,4
156,Kansas,Wichita (Sedgwick),3.80%,2.85%,5.04%,4
157,Kentucky,Kentucky,4.12%,3.47%,4.88%,3
158,Kentucky,"Adanta, Cumberland River, and Lifeskills",4.47%,3.36%,5.91%,4
159,Kentucky,"Bluegrass, Comprehend, and North Key",4.20%,3.28%,5.36%,4
160,Kentucky,Communicare and River Valley,4.07%,3.07%,5.37%,4
161,Kentucky,Four Rivers and Pennyroyal,4.28%,3.19%,5.71%,4
162,Kentucky,"Kentucky River, Mountain, and Pathways",4.22%,3.12%,5.69%,4
163,Kentucky,Seven Counties,3.64%,2.79%,4.75%,4
164,Louisiana,Louisiana,4.27%,3.59%,5.07%,3
165,Louisiana,Regions 1 and 10,3.84%,3.07%,4.79%,5
166,Louisiana,Region 1,3.94%,2.98%,5.20%,4
167,Louisiana,Region 10 (Jefferson),3.73%,2.80%,4.93%,4
168,Louisiana,Regions 2 and 9,4.74%,3.60%,6.21%,4
169,Louisiana,Region 3,4.01%,3.02%,5.31%,4
170,Louisiana,"Regions 4, 5, and 6",4.37%,3.34%,5.69%,4
171,Louisiana,Regions 7 and 8,4.04%,3.11%,5.22%,4
172,Maine,Maine,4.34%,3.64%,5.16%,3
173,Maine,Aroostook/Downeast,4.57%,3.52%,5.92%,5
174,Maine,Aroostook,4.56%,3.32%,6.24%,4
175,Maine,Downeast,4.57%,3.27%,6.36%,4
176,Maine,Central,4.53%,3.37%,6.06%,4
177,Maine,Cumberland,4.23%,3.19%,5.60%,4
178,Maine,Midcoast,4.06%,2.99%,5.47%,4
179,Maine,Penquis,4.76%,3.59%,6.27%,4
180,Maine,Western,4.45%,3.34%,5.91%,4
181,Maine,York,3.88%,2.90%,5.17%,4
182,Maryland,Maryland,3.57%,3.03%,4.22%,3
183,Maryland,Anne Arundel,3.72%,2.78%,4.95%,4
184,Maryland,Baltimore City,3.81%,2.88%,5.03%,4
185,Maryland,Baltimore County,3.60%,2.73%,4.72%,4
186,Maryland,Montgomery,3.41%,2.62%,4.42%,4
187,Maryland,North Central,3.49%,2.63%,4.62%,4
188,Maryland,Northeast,3.54%,2.66%,4.72%,4
189,Maryland,Prince George's,3.44%,2.62%,4.49%,4
190,Maryland,South,3.54%,2.69%,4.65%,4
191,Maryland,West,3.79%,2.88%,4.97%,4
192,Massachusetts,Massachusetts,3.96%,3.33%,4.71%,3
193,Massachusetts,Boston,4.49%,3.49%,5.77%,4
194,Massachusetts,Central,4.11%,3.08%,5.46%,4
195,Massachusetts,Metrowest,3.55%,2.71%,4.65%,4
196,Massachusetts,Northeast,3.99%,3.03%,5.25%,4
197,Massachusetts,Southeast,3.93%,2.98%,5.17%,4
198,Massachusetts,Western,4.02%,3.06%,5.26%,4
199,Michigan,Michigan,4.56%,4.06%,5.12%,3
200,Michigan,Region 1,4.98%,3.82%,6.46%,4
201,Michigan,Region 2,4.29%,3.27%,5.62%,4
202,Michigan,Region 3,4.68%,3.75%,5.82%,4
203,Michigan,Region 4,4.44%,3.50%,5.61%,4
204,Michigan,Region 5,4.97%,4.07%,6.06%,4
205,Michigan,Region 6,4.37%,3.50%,5.44%,4
206,Michigan,Region 7,4.34%,3.47%,5.41%,4
207,Michigan,Region 8,3.89%,3.08%,4.90%,4
208,Michigan,Region 9,4.76%,3.67%,6.16%,4
209,Michigan,Region 10,5.22%,4.08%,6.66%,4
210,Minnesota,Minnesota,3.99%,3.35%,4.76%,3
211,Minnesota,Regions 1 and 2,4.32%,3.22%,5.76%,4
212,Minnesota,Regions 3 and 4,4.01%,3.04%,5.28%,4
213,Minnesota,Regions 5 and 6,4.33%,3.24%,5.76%,4
214,Minnesota,Region 7A (Hennepin),3.85%,2.92%,5.06%,4
215,Minnesota,Region 7B (Ramsey),4.20%,3.17%,5.54%,4
216,Minnesota,Region 7C,3.60%,2.75%,4.71%,4
217,Mississippi,Mississippi,4.06%,3.42%,4.80%,3
218,Mississippi,Region 1,4.23%,3.27%,5.46%,4
219,Mississippi,Region 2,4.21%,3.13%,5.64%,4
220,Mississippi,Region 3,4.16%,3.15%,5.48%,4
221,Mississippi,Region 4,3.58%,2.73%,4.67%,4
222,Mississippi,Region 5,4.14%,3.03%,5.64%,4
223,Mississippi,Region 6,3.96%,3.00%,5.21%,4
224,Mississippi,Region 7,4.19%,3.16%,5.54%,4
225,Missouri,Missouri,4.07%,3.44%,4.81%,3
226,Missouri,Central,4.23%,3.22%,5.55%,4
227,Missouri,Eastern,3.68%,2.95%,4.60%,5
228,Missouri,Eastern (St. Louis City and County),3.71%,2.83%,4.85%,4
229,Missouri,Eastern (excluding St. Louis),3.64%,2.76%,4.79%,4
230,Missouri,Northwest,3.94%,3.14%,4.92%,5
231,Missouri,Northwest (Jackson),3.84%,2.89%,5.08%,4
232,Missouri,Northwest (excluding Jackson),4.03%,3.05%,5.30%,4
233,Missouri,Southeast,4.87%,3.61%,6.53%,4
234,Missouri,Southwest,4.38%,3.31%,5.78%,4
235,Montana,Montana,4.25%,3.56%,5.08%,3
236,Montana,Region 1,4.21%,3.07%,5.74%,4
237,Montana,Region 2,4.00%,3.06%,5.20%,4
238,Montana,Region 3,4.30%,3.30%,5.58%,4
239,Montana,Region 4,4.10%,3.13%,5.34%,4
240,Montana,Region 5,4.49%,3.46%,5.82%,4
241,Nebraska,Nebraska,4.01%,3.36%,4.77%,3
242,Nebraska,Regions 1 and 2,4.05%,3.18%,5.13%,5
243,Nebraska,Region 1,4.20%,3.14%,5.60%,4
244,Nebraska,Region 2,3.91%,2.88%,5.29%,4
245,Nebraska,Region 3,3.92%,2.98%,5.14%,4
246,Nebraska,Region 4,3.86%,2.90%,5.13%,4
247,Nebraska,Region 5,4.09%,3.19%,5.24%,4
248,Nebraska,Region 6,4.01%,3.15%,5.09%,4
249,Nevada,Nevada,4.15%,3.42%,5.03%,3
250,Nevada,Clark - Region 1,4.14%,3.28%,5.20%,4
251,Nevada,Region 3,4.09%,3.22%,5.17%,5
252,Nevada,Capital District,3.98%,2.92%,5.39%,4
253,Nevada,Rural/Frontier,4.19%,3.14%,5.57%,4
254,Nevada,Washoe - Region 2,4.26%,3.29%,5.49%,4
255,New Hampshire,New Hampshire,4.19%,3.53%,4.98%,3
256,New Hampshire,Central,4.34%,3.50%,5.38%,4
257,New Hampshire,Central 1,4.23%,3.26%,5.48%,5
258,New Hampshire,Central 2,4.46%,3.38%,5.85%,5
259,New Hampshire,Northern,4.27%,3.22%,5.65%,4
260,New Hampshire,Southern,4.10%,3.36%,5.01%,4
261,New Hampshire,Southern 1 (Rockingham),3.80%,2.91%,4.95%,5
262,New Hampshire,Southern 2,4.29%,3.39%,5.42%,5
263,New Jersey,New Jersey,3.63%,3.03%,4.33%,3
264,New Jersey,Central,3.66%,2.79%,4.79%,4
265,New Jersey,Metropolitan,3.53%,2.71%,4.58%,4
266,New Jersey,Northern,3.44%,2.62%,4.50%,4
267,New Jersey,Southern,4.00%,3.05%,5.22%,4
268,New Mexico,New Mexico,3.80%,3.17%,4.56%,3
269,New Mexico,Region 1,3.81%,2.90%,5.01%,4
270,New Mexico,Region 2,3.61%,2.62%,4.95%,4
271,New Mexico,Region 3 (Bernalillo),3.88%,2.98%,5.04%,4
272,New Mexico,Region 4,3.70%,2.84%,4.82%,4
273,New Mexico,Region 5,3.87%,2.93%,5.09%,4
274,New York,New York,3.73%,3.29%,4.22%,3
275,New York,Region A,3.84%,3.28%,4.50%,4
276,New York,Region 1,4.02%,3.10%,5.21%,5
277,New York,Region 2,3.70%,2.94%,4.66%,5
278,New York,Region 3,4.34%,3.37%,5.56%,5
279,New York,Region 4,3.54%,2.74%,4.56%,5
280,New York,Region B,3.37%,2.82%,4.02%,4
281,New York,Region 5,3.21%,2.55%,4.04%,5
282,New York,Region 6,3.50%,2.66%,4.59%,5
283,New York,Region 7,3.68%,2.86%,4.72%,5
284,New York,Region C,3.77%,3.26%,4.35%,4
285,New York,Region 8,3.71%,2.91%,4.70%,5
286,New York,Region 9,3.93%,3.09%,4.98%,5
287,New York,Region 10,4.31%,3.35%,5.54%,5
288,New York,Region 11,3.76%,2.98%,4.74%,5
289,New York,Region 12,3.48%,2.71%,4.46%,5
290,New York,Region D,4.12%,3.41%,4.98%,4
291,New York,Region 13,3.96%,3.06%,5.11%,5
292,New York,Region 14,4.40%,3.34%,5.77%,5
293,New York,Region 15,4.00%,3.07%,5.18%,5
294,North Carolina,North Carolina,4.28%,3.64%,5.03%,3
295,North Carolina,Alliance Behavioral Healthcare 1,4.17%,3.18%,5.46%,4
296,North Carolina,Alliance Behavioral Healthcare 2,3.75%,2.85%,4.93%,4
297,North Carolina,Cardinal Innovations Healthcare Solutions 1,4.50%,3.30%,6.10%,4
298,North Carolina,Cardinal Innovations Healthcare Solutions 2,4.16%,3.12%,5.52%,4
299,North Carolina,Cardinal Innovations Healthcare Solutions 3,3.84%,2.90%,5.08%,4
300,North Carolina,CenterPoint Human Services,4.29%,3.16%,5.79%,4
301,North Carolina,Eastpointe,4.61%,3.38%,6.24%,4
302,North Carolina,Partners Behavioral Health Management,4.38%,3.25%,5.88%,4
303,North Carolina,Sandhills Center 1,4.44%,3.24%,6.07%,4
304,North Carolina,Sandhills Center 2,3.96%,3.00%,5.20%,4
305,North Carolina,Smoky Mountain Center 1,4.80%,3.52%,6.53%,4
306,North Carolina,Smoky Mountain Center 2,4.47%,3.29%,6.05%,4
307,North Carolina,Trillium Healthcare Resources 1,4.29%,3.20%,5.73%,4
308,North Carolina,Trillium Healthcare Resources 2,4.64%,3.49%,6.14%,4
309,North Dakota,North Dakota,3.93%,3.34%,4.61%,3
310,North Dakota,Badlands and West Central,3.62%,2.80%,4.68%,4
311,North Dakota,Lake Region,4.07%,3.06%,5.38%,4
312,North Dakota,North Central,3.88%,3.00%,5.01%,4
313,North Dakota,Northeast,4.42%,3.49%,5.59%,4
314,North Dakota,Northwest,3.68%,2.77%,4.88%,4
315,North Dakota,South Central,3.90%,2.86%,5.31%,4
316,North Dakota,Southeast,4.04%,3.19%,5.09%,4
317,Ohio,Ohio,4.19%,3.73%,4.69%,3
318,Ohio,"Boards 2, 46, 55, and 68",4.25%,3.25%,5.54%,4
319,Ohio,"Boards 3, 52, and 85",4.41%,3.39%,5.71%,4
320,Ohio,Boards 4 and 78,4.45%,3.38%,5.84%,4
321,Ohio,Boards 5 and 60,4.66%,3.64%,5.95%,4
322,Ohio,"Boards 7, 15, 41, 79, and 84",4.56%,3.47%,5.97%,4
323,Ohio,"Boards 8, 13, and 83",4.25%,3.29%,5.49%,4
324,Ohio,Board 9 (Butler),4.58%,3.54%,5.92%,4
325,Ohio,Board 12,4.23%,3.23%,5.50%,4
326,Ohio,Boards 18 and 47,3.70%,2.91%,4.69%,4
327,Ohio,"Boards 20, 32, 54, and 69",3.86%,2.97%,5.02%,4
328,Ohio,"Boards 21, 39, 51, 70, and 80",3.88%,3.00%,4.99%,4
329,Ohio,"Boards 22, 74, and 87",4.25%,3.27%,5.49%,4
330,Ohio,Boards 23 and 45,4.18%,3.22%,5.40%,4
331,Ohio,Board 25 (Franklin),4.39%,3.51%,5.49%,4
332,Ohio,"Boards 27, 71, and 73",4.72%,3.59%,6.17%,4
333,Ohio,"Boards 28, 43, and 67",4.49%,3.44%,5.84%,4
334,Ohio,Board 31 (Hamilton),3.71%,2.90%,4.73%,4
335,Ohio,Board 48 (Lucas),4.10%,3.15%,5.31%,4
336,Ohio,Boards 50 and 76,4.19%,3.21%,5.45%,4
337,Ohio,Board 57 (Montgomery),4.46%,3.45%,5.75%,4
338,Ohio,Board 77 (Summit),4.01%,3.07%,5.22%,4
339,Oklahoma,Oklahoma,4.04%,3.41%,4.77%,3
340,Oklahoma,Central,4.33%,3.28%,5.69%,4
341,Oklahoma,East Central,4.10%,3.07%,5.47%,4
342,Oklahoma,Northeast,3.99%,3.01%,5.28%,4
343,Oklahoma,Northwest and Southwest,4.04%,3.05%,5.34%,4
344,Oklahoma,Oklahoma County,3.80%,2.94%,4.90%,4
345,Oklahoma,Southeast,4.25%,3.19%,5.66%,4
346,Oklahoma,Tulsa County,3.90%,2.96%,5.12%,4
347,Oregon,Oregon,4.31%,3.64%,5.08%,3
348,Oregon,Region 1 (Multnomah),4.62%,3.55%,5.99%,4
349,Oregon,Region 2,3.83%,2.92%,5.02%,4
350,Oregon,Region 3,4.43%,3.45%,5.67%,4
351,Oregon,Region 4,4.44%,3.29%,5.96%,4
352,Oregon,Region 5 (Central),3.94%,2.91%,5.33%,4
353,Oregon,Region 6 (Eastern),4.47%,3.30%,6.05%,4
354,Pennsylvania,Pennsylvania,3.95%,3.49%,4.47%,3
355,Pennsylvania,Region 1 (Allegheny),3.96%,3.12%,5.02%,4
356,Pennsylvania,"Regions 3, 8, 9, and 51",3.91%,3.04%,5.03%,4
357,Pennsylvania,"Regions 4, 11, 37, and 49",4.02%,3.11%,5.18%,4
358,Pennsylvania,"Regions 5, 18, 23, 24, and 46",4.13%,3.21%,5.31%,4
359,Pennsylvania,"Regions 6, 12, 16, 31, 35, 45, and 47",4.51%,3.56%,5.70%,4
360,Pennsylvania,"Regions 7, 13, 20, and 33",3.46%,2.80%,4.27%,4
361,Pennsylvania,"Regions 10, 15, 27, 32, 43, and 44",4.45%,3.41%,5.79%,4
362,Pennsylvania,Regions 17 and 21,4.45%,3.38%,5.84%,4
363,Pennsylvania,"Regions 19, 26, 28, and 42",3.87%,3.05%,4.91%,4
364,Pennsylvania,"Regions 22, 38, 40, 41, and 48",3.64%,2.78%,4.75%,4
365,Pennsylvania,Regions 29 and 34,3.87%,2.98%,5.01%,4
366,Pennsylvania,Regions 30 and 50,4.26%,3.27%,5.54%,4
367,Pennsylvania,Region 36 (Philadelphia),4.22%,3.36%,5.27%,4
368,Rhode Island,Rhode Island,4.24%,3.52%,5.09%,3
369,Rhode Island,Bristol and Newport,3.95%,2.96%,5.24%,4
370,Rhode Island,Kent,4.12%,3.05%,5.54%,4
371,Rhode Island,Providence,4.36%,3.45%,5.49%,4
372,Rhode Island,Washington,4.10%,3.07%,5.46%,4
373,South Carolina,South Carolina,4.02%,3.35%,4.80%,3
374,South Carolina,Region 1,4.15%,3.18%,5.40%,4
375,South Carolina,Region 2,4.06%,3.10%,5.31%,4
376,South Carolina,Region 3,4.04%,3.01%,5.40%,4
377,South Carolina,Region 4,3.80%,2.94%,4.90%,4
378,South Dakota,South Dakota,3.81%,3.22%,4.51%,3
379,South Dakota,Region 1,3.75%,2.89%,4.87%,4
380,South Dakota,Region 2,3.76%,2.80%,5.02%,4
381,South Dakota,Region 3,3.96%,3.08%,5.08%,4
382,South Dakota,Region 4,3.62%,2.77%,4.73%,4
383,South Dakota,Region 5,3.85%,2.99%,4.95%,4
384,Tennessee,Tennessee,4.09%,3.45%,4.84%,3
385,Tennessee,Region 1,4.24%,3.16%,5.66%,4
386,Tennessee,Region 2,3.99%,3.03%,5.25%,4
387,Tennessee,Region 3,4.47%,3.35%,5.94%,4
388,Tennessee,Region 4 (Davidson),3.94%,3.00%,5.15%,4
389,Tennessee,Region 5,4.39%,3.36%,5.73%,4
390,Tennessee,Region 6,3.96%,3.00%,5.22%,4
391,Tennessee,Region 7 (Shelby),3.42%,2.60%,4.48%,4
392,Texas,Texas,3.53%,3.12%,3.99%,3
393,Texas,Region 1,3.94%,3.05%,5.07%,4
394,Texas,Region 2,3.92%,2.97%,5.17%,4
395,Texas,Region 3,3.45%,2.90%,4.11%,4
396,Texas,Region 3a,3.33%,2.68%,4.13%,5
397,Texas,Region 3bc,3.66%,2.89%,4.62%,5
398,Texas,Region 4,3.68%,2.79%,4.83%,4
399,Texas,Region 5,3.73%,2.79%,4.97%,4
400,Texas,Region 6,3.19%,2.59%,3.92%,4
401,Texas,Region 6a,3.13%,2.50%,3.92%,5
402,Texas,Region 6bc,3.70%,2.76%,4.94%,5
403,Texas,Region 7,4.03%,3.32%,4.89%,4
404,Texas,Region 7a,4.03%,3.15%,5.15%,5
405,Texas,Region 7bcd,4.04%,3.18%,5.12%,5
406,Texas,Region 8,3.57%,2.77%,4.58%,4
407,Texas,Region 9,3.75%,2.86%,4.91%,4
408,Texas,Region 10,3.43%,2.60%,4.52%,4
409,Texas,Region 11,3.50%,2.80%,4.38%,4
410,Texas,Region 11abd,3.61%,2.76%,4.72%,5
411,Texas,Region 11c (Hidalgo),3.31%,2.48%,4.41%,5
412,Utah,Utah,4.85%,4.16%,5.64%,3
413,Utah,"Bear River, Northeastern, Summit, Tooele, and Wasatch",4.84%,3.75%,6.22%,4
414,Utah,"Central, Four Corners, San Juan, and Southwest",4.96%,3.77%,6.51%,4
415,Utah,Davis County,4.66%,3.59%,6.03%,4
416,Utah,Salt Lake County,4.67%,3.77%,5.78%,4
417,Utah,Utah County,5.41%,4.32%,6.76%,4
418,Utah,"Weber, Morgan",4.55%,3.52%,5.87%,4
419,Vermont,Vermont,4.62%,3.82%,5.58%,3
420,Vermont,Champlain Valley,4.32%,3.37%,5.53%,4
421,Vermont,Rural Northeast,5.32%,3.93%,7.17%,4
422,Vermont,Rural Southeast,4.42%,3.30%,5.90%,4
423,Vermont,Rural Southwest,4.61%,3.44%,6.14%,4
424,Virginia,Virginia,3.85%,3.26%,4.55%,3
425,Virginia,Region 1,3.85%,2.97%,4.97%,4
426,Virginia,Region 2,3.37%,2.59%,4.38%,4
427,Virginia,Region 3,4.57%,3.47%,6.00%,4
428,Virginia,Region 4,3.83%,2.90%,5.03%,4
429,Virginia,Region 5,3.92%,3.08%,4.99%,4
430,Washington,Washington,4.38%,3.70%,5.18%,3
431,Washington,Region 1,4.47%,3.58%,5.57%,4
432,Washington,Greater Columbia and North Central,4.32%,3.30%,5.64%,5
433,Washington,Spokane,4.68%,3.51%,6.22%,5
434,Washington,Region 2,4.16%,3.38%,5.13%,4
435,Washington,King,4.13%,3.20%,5.32%,5
436,Washington,North Sound,4.23%,3.22%,5.53%,5
437,Washington,Region 3,4.64%,3.78%,5.68%,4
438,Washington,Peninsula,4.26%,3.17%,5.71%,5
439,Washington,Pierce,4.66%,3.53%,6.12%,5
440,Washington,SW WA and Timberlands,4.96%,3.65%,6.72%,5
441,Washington,Thurston-Mason,4.28%,3.15%,5.80%,5
442,West Virginia,West Virginia,4.62%,3.91%,5.45%,3
443,West Virginia,Region I,4.63%,3.40%,6.26%,4
